License Plates, Car Make , Car Model   , Year , Body Type , Color Options                 , Fuel Type , Engine Size (L) , Horsepower , Transmission Type , Top Speed (mph) , Mileage, Safety Features                                      , Entertainment Features               , Interior Features                                , Exterior Features                                           , Price ($) , Customer Ratings , Sales Figures (Units Sold) 
SKF2418Z, Toyota   , Camry       ,2022, Sedan     ," White, Silver, Black          ", Gasoline  ,2.5,203,Automatic        ,135,31," ABS, Airbags, Lane-Keeping Assist, Blind Spot Monitor ", 8-inch Touchscreen Infotainment System ," Leather Seats, Power Driver's Seat, Dual-Zone Climate Control "," LED Headlights, Alloy Wheels, Sunroof                       ","28,500", 4.5/5            ,"1,500"
SMX6486P, Ford     , F-150       ,2023, Truck     ," Blue, Red, Gray               ", Gasoline  ,3.5,375,Automatic        ,145,23," ABS, Airbags, Trailer Sway Control, Rear View Camera  ", 12-inch SYNC 4 Infotainment System   ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Taillights, Tow Hitch, Bed Liner                        ","45,900", 4.8/5            ,"2,200"
SMP3900U, Honda    , Civic       ,2023, Sedan     ," Black, Blue, Silver           ", Gasoline  ,1.8,158,Automatic               ,120,36," ABS, Airbags, Lane Departure Warning, Rear Cross Traffic Alert ", 7-inch Display Audio System       ," Cloth Seats, Bluetooth Connectivity, Push Button Start   "," LED Daytime Running Lights, Alloy Wheels                   ","22,950", 4.6/5            ,"2,800"
SLF5414B, Chevrolet, Tahoe       ,2023, SUV       ," Red, White, Gray              ", Gasoline  ,5.3,355,Automatic        ,130,19," ABS, Airbags, Forward Collision Warning, Lane Keep Assist ", 10.2-inch Infotainment System      ," Leather Seats, Heated Front Seats, Third-Row Seating     "," LED Headlights, Roof Rails, Power Liftgate                 ","53,250", 4.7/5            ,"1,000"
SLH5895X, Tesla    , Model 3     ,2023, Sedan     ," Blue, Red, Silver             ", Electric  , N/A             ,283,Automatic        ,140,125," Enhanced Autopilot, Lane Departure Warning, Autopark   ", 15.4-inch Infotainment Display     ," Vegan Leather Seats, Heated Steering Wheel, Premium Audio "," Panoramic Glass Roof, Power Trunk, Alloy Wheels             ","49,990", 4.9/5            ,"4,500"
SJM5466K, Nissan   , Rogue       ,2023, SUV       ," Green, Black, White           ", Gasoline  ,2.5,181,Automatic               ,115,28," ABS, Airbags, Blind Spot Warning, Rear Cross Traffic Alert ", 8-inch Touchscreen Display        ," Cloth Seats, Power Mirrors, Dual-Zone Climate Control     "," LED Taillights, Roof Rails, Power Liftgate                 ","27,850", 4.6/5            ,"2,100"
SKU1456H, BMW      , X5          ,2022, SUV       ," Black, Gray, Blue             ", Gasoline  ,3,335,Automatic        ,155,24," ABS, Airbags, Lane Departure Warning, Parking Assist     ", 12.3-inch Digital Instrument Cluster ," Leather Seats, Heated Front Seats, Panoramic Sunroof      "," LED Headlights, Roof Rails, 20-inch Alloy Wheels          ","62,700", 4.7/5            ,"1,300"
SJJ3236D, Hyundai  , Sonata      ,2023, Sedan     ," Red, Silver, White            ", Gasoline  ,2.5,191,Automatic        ,130,29," ABS, Airbags, Forward Collision Warning, Lane Keeping Assist ", 10.25-inch Touchscreen Display    ," Leather Seats, Power Driver's Seat, Push Button Start     "," LED Daytime Running Lights, Alloy Wheels                   ","28,450", 4.8/5            ,"2,000"
SMV8037B, Ford     , Mustang     ,2023, Coupe     ," Yellow, Black, Red            ", Gasoline  ,5,450,Manual            ,180,19," ABS, Airbags, Traction Control, Electronic Stability Control ", 12-inch SYNC 4 Infotainment System  ," Leather Seats, Power Driver's Seat, Ambient Lighting        "," LED Headlights, Rear Spoiler, Dual Exhaust                 ","42,850", 4.9/5            ,"1,800"
SNA3960E, Toyota   , RAV4        ,2023, SUV       ," Blue, Silver, Green           ", Gasoline  ,2.5,203,Automatic        ,120,30," ABS, Airbags, Lane Tracing Assist, Blind Spot Monitoring  ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Dual-Zone Climate Control     "," LED Daytime Running Lights, Roof Rails                   ","29,350", 4.5/5            ,"2,500"
